error_class,line_count,ground_truth,prediction,substitutions,deleted,inserted,error_positions,confidence,image_path
substitution,2,67M23789,67A23789,M>A,,,2,0.9997,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2419_jpg.rf.111a750cfafa4996c87c0791fd54bb9f.jpg
substitution,2,60D193113,60R193113,D>R,,,2,0.9082,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2446_jpg.rf.eea302269dcfdc0e502a2919d1822bca.jpg
mixed,2,59F147404,50S47404,F>0 1>S,9,,1 2 3,0.9297,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2453_jpg.rf.48051063b1fb9de7a1b0f8289539702b.jpg
substitution,2,71B111345,71A111345,B>A,,,2,0.9187,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2457_jpg.rf.8ae237b908b93a8c2d98d1b0a86c62ee.jpg
substitution,2,59P234276,599734276,P>9 2>7,,,2 3,0.9340,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2458_jpg.rf.4b866dcd64f3b3df65298f81ac465c23.jpg
missing_chars,2,59F170424,59F70424,,1,,3,0.9992,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2465_jpg.rf.962f87d746450d34113b1a26fa7eff4b.jpg
substitution,1,51F06998,51F06948,9>4,,,6,0.9977,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5CarLongPlate197_jpg.rf.890348d221df720cde12d7f7ce7d821c.jpg
substitution,1,51G47340,61G47340,5>6,,,0,0.9922,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5CarLongPlate220_jpg.rf.50da11bf068f5cc8cb73cec2efa40d8c.jpg
substitution,1,51F04225,51F04275,2>7,,,6,0.9996,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5CarLongPlate491_jpg.rf.ca03edc0d9b1eafaff2f9bdb7ec59397.jpg
substitution,1,51F88220,51F88270,2>7,,,6,0.9989,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5CarLongPlate548_jpg.rf.2007481ee88e0c12126a53f247987c81.jpg
substitution,1,11F07973,51F07973,1>5,,,0,0.9996,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5CarLongPlate571_jpg.rf.2d9208f516f98c1b7825150d48b1b82e.jpg
extra_chars,1,51G2181,51G25181,,,5,,0.9995,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5CarLongPlate766_jpg.rf.76bb9a06d00ae5d66423366104f71f3b.jpg
extra_chars,1,51F1555,51F15585,,,8,,0.9709,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5CarLongPlate879_jpg.rf.8aaca189d66154f1a6a6c2c6ff36a901.jpg
substitution,1,11G51008,51G51008,1>5,,,0,0.9862,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5CarLongPlate939_jpg.rf.6638e99fd408baf915a9d078d4904421.jpg
mixed,2,77F79919,17TF79919,7>T,,1,1,0.8885,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay1040_jpg.rf.ada90a0a4bab84e383eb9861de6d2fcd.jpg
substitution,2,59M154192,59A154192,M>A,,,2,0.9074,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay1107_jpg.rf.86d3e8859ebc6a8a0ea60d61a24d42b3.jpg
empty_read,2,59V122709,,,59V122709,,0 1 2 3 4 5 6 7 8,0.0000,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay1187_jpg.rf.9e54cf0b351d60e3c6860f27e0671fca.jpg
substitution,2,59E118310,59F118310,E>F,,,2,0.9722,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay1210_jpg.rf.7638ce5388737be3c857d181ac72ed1c.jpg
substitution,2,55P48426,55PL8426,4>L,,,3,0.9940,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay1255_jpg.rf.3f808652a220c221a20285536d1c96fe.jpg
missing_chars,2,99L123882,23882,,99L1,,0 1 2 3,0.9965,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay1347_jpg.rf.9f8f081a04ee872791e0fa4ec9154afc.jpg
substitution,2,59X297772,59Y297772,X>Y,,,2,0.9366,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay1367_jpg.rf.d0f652babf3753678fd095c40a422c3c.jpg
substitution,2,71C236563,71C230503,6>0 6>0,,,5 7,0.9375,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay1444_jpg.rf.28caa8e199b3d759fb7fd19d72102071.jpg
substitution,2,59K18301,59K16301,8>6,,,4,0.9218,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay1561_jpg.rf.f74c4238e71af57a0b645435a814153a.jpg
substitution,2,59H152576,59M152576,H>M,,,2,0.9382,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay1588_jpg.rf.e2d7102f44db1c10b45c916174489b91.jpg
mixed,2,59U139619,5911139619,U>1,,1,2,0.9625,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay15_jpg.rf.6e4606481a03a8bda6b0661da88ac2a7.jpg
missing_chars,2,47M74206,4206,,47M7,,0 1 2 3,0.9969,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay163_jpg.rf.b76cbc60fd3faf8652464a4241057dc3.jpg
substitution,2,79M22094,79N22094,M>N,,,2,0.9964,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay1646_jpg.rf.69b6bc5d2f56b65f66fad9096be1d0c4.jpg
mixed,2,59H119374,59L9374,1>L,H1,,2 3 4,0.9975,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay1793_jpg.rf.9f252e28c332893f4d596dd2833dbb86.jpg
substitution,2,59Y144665,59Y114665,4>1,,,4,0.9784,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay1827_jpg.rf.b65fa033c2f360f138e067fc4e86b3f2.jpg
mixed,2,59U166141,5911166141,U>1,,1,2,0.9849,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay182_jpg.rf.2935856fad920da192bb6fd5071c6b39.jpg
substitution,2,59M190977,59L190977,M>L,,,2,0.9128,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay1951_jpg.rf.388930a4dbdf48403abbfa04d8c4987f.jpg
mixed,2,60B33534,80A734534,6>8 B>7 3>4,,A,0 2 4,0.7837,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay1957_jpg.rf.be6b8e4fdf3dd4c81a8280d1510ec298.jpg
substitution,2,67F111317,67S111317,F>S,,,2,0.8849,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay1971_jpg.rf.bcee839738a652f33601088475beea93.jpg
substitution,2,59M103519,59M703519,1>7,,,3,0.9269,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay1977_jpg.rf.9dad6c551e4de4d1905a7021af703cbc.jpg
substitution,2,59S220617,C0RS20617,5>C 9>0 S>R 2>S,,,0 1 2 3,0.8193,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay1993_jpg.rf.22e38053a4ff396634cf6893a88be2ee.jpg
substitution,2,59X277399,59Y277399,X>Y,,,2,0.9499,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay2120_jpg.rf.7c5a267ebe3489b2276b5e8bc9b8ec9d.jpg
substitution,2,49K107370,49K107320,7>2,,,7,0.9955,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay2168_jpg.rf.300e79bc434ca230865068a0fbca9553.jpg
mixed,2,52T76433,52L6433,7>L,T,,2 3,0.9971,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay2177_jpg.rf.37b3c5626aacbf434816ad9d0d2d4627.jpg
substitution,2,59L223714,59L223711,4>1,,,8,0.9193,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay232_jpg.rf.f2f047438cea21d82223c874d625e53d.jpg
missing_chars,2,66L135224,66L35224,,1,,3,0.9462,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay2355_jpg.rf.3160a3605f960f4ab1891745197672cd.jpg
mixed,2,59C168612,59R68612,1>R,C,,2 3,0.9498,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay2384_jpg.rf.40d01011f479256c90d5c7ef87b1d859.jpg
substitution,2,59Z127275,59T127275,Z>T,,,2,0.9759,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay242_jpg.rf.40eaf49713d7413b6501eea895426467.jpg
mixed,2,59C139780,59C1390U,8>0 0>U,7,,6 7 8,0.9354,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay274_jpg.rf.1bf277d689f7f3737e6b7598f68b75e3.jpg
substitution,2,59E164141,59F164141,E>F,,,2,0.9472,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay295_jpg.rf.96f8a6efde236fd694d036784ae843e0.jpg
substitution,2,55X17546,55L17546,X>L,,,2,0.8205,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay296_jpg.rf.fac6a8e4a0578d58c5c73b5c8ee099e0.jpg
mixed,2,59C245633,59C26633,5>6,4,,4 5,0.8613,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay450_jpg.rf.77f117b9d0ab155e1e1c584b1814885e.jpg
substitution,2,52T76433,52L76433,T>L,,,2,0.9404,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay492_jpg.rf.244cb3b14046abd617e3796d4a57dc88.jpg
substitution,2,59U157674,59D157674,U>D,,,2,0.9700,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay550_jpg.rf.ea0fcc0b077fe8f86f4d3cb4fee9971b.jpg
substitution,2,63HH1295,63H31295,H>3,,,3,0.9989,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay580_jpg.rf.89b4a05222b7391327dc5b3f321d795b.jpg
substitution,2,59L156722,59L156720,2>0,,,8,0.9929,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay620_jpg.rf.5c92852d950483cd468f68cc68121d4b.jpg
substitution,2,59E153127,59F153127,E>F,,,2,0.9882,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay656_jpg.rf.128ccf44881da6802982f1ee16ab96bb.jpg
substitution,2,63B963040,63R963040,B>R,,,2,0.9294,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay662_jpg.rf.a7ba29931149b4575f8cf0e3b1d87211.jpg
substitution,2,52F73880,52F73840,8>4,,,6,0.9602,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay669_jpg.rf.5d5034b8d33532b89003c57ad28dfe8a.jpg
substitution,2,54Z12997,54T12997,Z>T,,,2,0.9877,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay753_jpg.rf.1c92f20a5a8db2589a6792df95121e94.jpg
missing_chars,2,59L181006,59L81006,,1,,3,0.9598,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay811_jpg.rf.5c1dc14b74ee42ef97579ef2770f992c.jpg
mixed,2,59H135460,59H25460,3>2,1,,3 4,0.9921,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay851_jpg.rf.2b84fe1896fec634e78bc9ae8449bebb.jpg
mixed,2,53Y35614,53V3561,Y>V,4,,2 7,0.9593,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay868_jpg.rf.d08797f7a7116aef562d537e8a33f7b4.jpg
substitution,2,59P186084,50P186084,9>0,,,1,0.9901,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay889_jpg.rf.ca3db0aa813dfaa5b0bee558dd329218.jpg
mixed,2,67M120886,67Z0886,2>Z,M1,,2 3 4,0.9885,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay961_jpg.rf.576f98fbc02ba99423f27b3405585702.jpg
substitution,1,51F06532,61F06532,5>6,,,0,0.9858,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/6CarLongPlate114_jpg.rf.6457c2c3d131ecc2d7b093df9979ea6b.jpg
substitution,1,61A22959,51A22959,6>5,,,0,0.9041,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/6CarLongPlate867_jpg.rf.46c4500083f57851b96bf598b30711e8.jpg
substitution,2,59H153561,59M153561,H>M,,,2,0.9785,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/6xemay114_jpg.rf.dafa6d8998a1bbaa9205844cf1c31899.jpg
substitution,2,37H107918,37M107918,H>M,,,2,0.9445,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/6xemay18_jpg.rf.96facdfc7e9c285ec3353c29f6f1c10b.jpg
substitution,2,51Z30606,51T30606,Z>T,,,2,0.9746,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/6xemay196_jpg.rf.58fdf30b19c5ad51c008e6492b2dbb80.jpg
substitution,2,59C211894,59L211894,C>L,,,2,0.9423,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/6xemay203_jpg.rf.b2c2decea221829927f3bb7d97f43ed9.jpg
substitution,2,51F84779,51FR4779,8>R,,,3,0.8765,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/6xemay20_jpg.rf.a5dbabc69393f763d1770a4f107db9bd.jpg
substitution,2,59V215800,59V715800,2>7,,,3,0.9250,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/6xemay263_jpg.rf.01aa4c9fbdd7dd4a9f95af314b81f39c.jpg
substitution,2,59C25920,59C25925,0>5,,,7,0.9518,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/6xemay286_jpg.rf.53ae0713c9eb170424da6f3804bb7258.jpg
missing_chars,2,59T153668,59T53668,,1,,3,0.9921,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/6xemay349_jpg.rf.552dc90251458c7d71f6c15a9b459784.jpg
substitution,2,79N160529,70N160529,9>0,,,1,0.9651,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/6xemay382_jpg.rf.b4b71d4892bf49080555217a4c088a74.jpg
mixed,2,59N125521,59Z5521,2>Z,N1,,2 3 4,0.9986,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/6xemay422_jpg.rf.9a37bc63be9d17fc2d9ec7a08028c5ba.jpg
substitution,2,59P224979,59P224379,9>3,,,6,0.9867,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/6xemay449_jpg.rf.e3bb470baf153fd652ec6f7750fe9880.jpg
missing_chars,2,81B126810,81B26810,,1,,3,0.9465,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/6xemay44_jpg.rf.1f6fdaed2861e56848c95801a3c44efc.jpg
extra_chars,2,59X235479,59X2353479,,,3,,0.8510,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/6xemay455_jpg.rf.fd2aaa20e52bfa170c83f3b2103de265.jpg
substitution,2,59V200884,59V21U884,0>1 0>U,,,4 5,0.9097,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/6xemay458_jpg.rf.c631b4a623476eb62bdc5d545549fe8f.jpg
substitution,2,59D200428,59D206428,0>6,,,5,0.9958,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/6xemay463_jpg.rf.e7cc226a9f41dc369c98aa15e2507956.jpg
substitution,2,49H71975,49M71975,H>M,,,2,0.9912,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/6xemay464_jpg.rf.d07d507ceedb14616ad31e52731c6c98.jpg
substitution,2,59H160077,59M160077,H>M,,,2,0.9730,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/6xemay529_jpg.rf.8aa8d4eb04501d0282548df1d569c07c.jpg
substitution,2,60X94808,60Y94808,X>Y,,,2,0.9521,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/6xemay540_jpg.rf.0b59cd2fbd9b8cbad3d004190f83a9d6.jpg
mixed,2,54Z87524,54T8752,Z>T,4,,2 7,0.8780,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/6xemay54_jpg.rf.1d6a375f336911d949ae34674d9a8746.jpg
substitution,2,59E119283,59F119283,E>F,,,2,0.9924,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/6xemay559_jpg.rf.51ce2c7154972ca3c9defde6f14a12af.jpg
substitution,2,54K48147,51K48147,4>1,,,1,0.9600,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/6xemay577_jpg.rf.963358ff15ccf031f9c9692e71e60161.jpg
substitution,2,59U139997,59D139997,U>D,,,2,0.9620,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/6xemay611_jpg.rf.d1f1f3f8d6eb0c56405ec291f29740c9.jpg
substitution,2,71B289837,71B289937,8>9,,,6,0.9689,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/6xemay615_jpg.rf.88443713606c32d7c8933836016025f7.jpg
extra_chars,2,79C122177,79C1B22177,,,B,,0.9593,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/6xemay641_jpg.rf.05663ca6b3a751d2c08467f5f7c6ed14.jpg
substitution,2,53Z11759,53T11759,Z>T,,,2,0.9762,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/6xemay680_jpg.rf.678861da7a9243e534640dee0f8373d6.jpg
substitution,2,60B157122,60R157122,B>R,,,2,0.9617,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/6xemay84_jpg.rf.e5ebd49fbe6500cfa5d2b6037931f5ab.jpg
mixed,2,51L73998,51T3998,7>T,L,,2 3,0.9988,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/6xemay96_jpg.rf.31793144f46a02022589d1f214cca2d1.jpg
mixed,2,59U139619,5911139619,U>1,,1,2,0.9910,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/7xemay1807_jpg.rf.ce487656d2934dff697c7dca6a36f2c7.jpg
substitution,2,51Z30606,51T30606,Z>T,,,2,0.9990,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/7xemay1848_jpg.rf.cb0a38fe6f6f8de0262c192b3150efe2.jpg
mixed,2,47B142872,78L42872,B>8 1>L,4,,0 2 3,0.8944,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/7xemay1850_jpg.rf.176220d58dcd52eb892d5a9f58ca9ece.jpg
substitution,2,55P44641,55PL4641,4>L,,,3,0.9764,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/7xemay2042_jpg.rf.d8aedb73a0e3cb003cf9d407b1342641.jpg
substitution,2,92D142705,97D142705,2>7,,,1,0.9678,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/7xemay2265_jpg.rf.dbe65534e2309df2d41f6461eb59e4ed.jpg
substitution,2,63Y10200,63V10200,Y>V,,,2,0.9484,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/8xemay101_jpg.rf.79b9d96e22e910590466103834c26d6b.jpg
substitution,2,59B119220,59B119240,2>4,,,7,0.9941,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/8xemay1193_jpg.rf.e01364e064fbc99e34b2ec04504f39e5.jpg
missing_chars,2,54X72899,2899,,54X7,,0 1 2 3,0.9995,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/8xemay1199_jpg.rf.38173dfdbe757c97937090c681446542.jpg
substitution,2,59E163978,59F163978,E>F,,,2,0.9727,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/8xemay1656_jpg.rf.d42ae96748c9a9c0c825a5375eafde72.jpg
substitution,2,55S114883,59S114883,5>9,,,1,0.9671,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/8xemay1891_jpg.rf.f473cfec361b8ba5c15716dc19acabcb.jpg
missing_chars,2,66L135224,66L35224,,1,,3,0.9533,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/8xemay1964_jpg.rf.c873ed22dfaef8968c43056145961799.jpg
mixed,2,59L178582,54G78582,L>4 1>G,9,,1 2 3,0.9302,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/8xemay1978_jpg.rf.bd25a95dc467f39d8cae5d9196cfebb9.jpg
mixed,2,79U24621,79L121621,U>1 4>1,,L,2 4,0.9593,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/8xemay2293_jpg.rf.7231b0633615deef9c6e635404450e8d.jpg
substitution,2,52F41035,52FL1035,4>L,,,3,0.9517,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/8xemay2411_jpg.rf.a63afe8cfff97b7455aaacb9b8e2a61d.jpg
mixed,2,59U151771,59II151771,U>I,,I,2,0.9203,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/8xemay2456_jpg.rf.5aa1e2ce0ac8c031032f4698b6ad593b.jpg
missing_chars,2,51L41138,51L1138,,4,,3,0.9696,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/8xemay2466_jpg.rf.4fd7866042de1efca80f992208f3d971.jpg
substitution,2,52U44702,F2I14702,5>F U>I 4>1,,,0 2 3,0.8208,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/8xemay27_jpg.rf.b7b245a14a0cda83c90acfc88280200e.jpg
substitution,2,63B703323,63B7U3323,0>U,,,4,0.9917,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/8xemay354_jpg.rf.5fde1a6db8886fc033807df27a75f1df.jpg
substitution,2,66S109018,66S1C9018,0>C,,,4,0.9860,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/8xemay478_jpg.rf.75860429b460089d57610824325b335f.jpg
substitution,2,49E115383,49F115383,E>F,,,2,0.9681,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/8xemay752_jpg.rf.e1a5481b8a49e3c9f63b12dbfcb626f5.jpg
missing_chars,2,59C123083,59C23083,,1,,3,0.9413,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/8xemay881_jpg.rf.0f18768299888e66563a63642e2ac855.jpg
mixed,2,59M107790,59D7790,0>D,M1,,2 3 4,0.9717,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/8xemay899_jpg.rf.7b5fa9bfa5fbae9320a6659b274356dc.jpg
substitution,2,71B140140,71B110140,4>1,,,4,0.9304,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/8xemay926_jpg.rf.13fe4909849e776a3d169c551f7d7e2d.jpg
substitution,2,59Z119632,59T119632,Z>T,,,2,0.9956,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/8xemay937_jpg.rf.a0496ba4cf133360fbd6220e32a632de.jpg
missing_chars,2,51L54520,514520,,L5,,2 3,0.8979,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/8xemay962_jpg.rf.6007c1ff22af914a09dbe453632e06b2.jpg
substitution,1,51F55881,51F59881,5>9,,,4,0.9995,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/9CarLongPlate814_jpg.rf.921656ec26b6d00041abbf2c4c4484e6.jpg
substitution,2,54T40987,54TL0987,4>L,,,3,0.9757,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/9xemay1046_jpg.rf.8b961b6b33aca1b909002056383cb904.jpg
substitution,2,49E139941,49F139941,E>F,,,2,0.9660,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/9xemay1159_jpg.rf.d8018bbff3dfd8ce789d10e1360def77.jpg
substitution,2,79Z110184,79T110184,Z>T,,,2,0.9616,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/9xemay1278_jpg.rf.adf3d43c19cf7928324cc1dcd9792ff6.jpg
substitution,2,59E150988,59F150988,E>F,,,2,0.9664,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/9xemay1577_jpg.rf.b1ab2bbbd5993d83fe9efba5851c49e6.jpg
mixed,2,59U159897,5911159897,U>1,,1,2,0.9559,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/9xemay1743_jpg.rf.04bd8bd8ca32b703e1e5168f1fa841cf.jpg
substitution,2,55E121500,59F121500,5>9 E>F,,,1 2,0.9841,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/9xemay1_jpg.rf.823a5b1c82a84604b59933c742f7eb88.jpg
substitution,2,63B138776,63B138786,7>8,,,7,0.9631,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/9xemay285_jpg.rf.70bbbf264c6476f00ae6c171d2741bc0.jpg
extra_chars,2,59C13631,59C1C3631,,,C,,0.9639,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/9xemay653_jpg.rf.417db06c8ad852e8ebf7e37f242f9cc2.jpg
substitution,2,52F37458,52E37458,F>E,,,2,0.8066,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/9xemay759_jpg.rf.3e9e3dc3b0226b379c3dad7d92a9173a.jpg
substitution,2,59E172361,59E172301,6>0,,,7,0.9425,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/9xemay845_jpg.rf.61f05aef9dc46c324ecd4c9281ee31e4.jpg
substitution,2,54X45569,54X45969,5>9,,,5,0.9656,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/9xemay94_jpg.rf.df6372e5e9dc3a61b15087b73f0840c3.jpg
mixed,2,30E27010,13DE27010,0>D,,1,1,0.8733,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/ndata103_jpg.rf.618c7277fe14a8c4abc54687eac930c9.jpg
substitution,2,29X567147,29Y567147,X>Y,,,2,0.9544,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/ndata108_jpg.rf.905ba32a180870eb8bfe153315f13ed2.jpg
substitution,2,29Z166880,29T166880,Z>T,,,2,0.9855,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/ndata109_jpg.rf.5ab4c5f5eef54530ad1c7f6e5c823525.jpg
mixed,2,29D42271,29N422719U,D>N,,9U,2,0.8003,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/ndata10_jpg.rf.1b576f77bb1e1bf09c637ae3adf4d7bc.jpg
substitution,2,94F95348,38F05348,9>3 4>8 9>0,,,0 1 3,0.8090,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/ndata110_jpg.rf.6d6f9acc4ea0cc09b3cc9f649278ec78.jpg
substitution,2,75H136121,36L2175M1,7>3 5>6 H>L 1>2 3>1 6>7 1>5 2>M,,,0 1 2 3 4 5 6 7,0.8870,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/ndata127_jpg.rf.c2395b11f8dcb18488df7e6485a339a3.jpg
substitution,2,30N30866,30H30866,N>H,,,2,0.9421,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/ndata130_jpg.rf.011558a691fc9885d7ab762a31f496c5.jpg
substitution,2,29E119298,29F119298,E>F,,,2,0.9512,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/ndata133_jpg.rf.8eb127fe7333a315bccb341c3a4e0fba.jpg
mixed,2,30A09817,09B177M4,8>B,30A,7M4,0 1 2 5,0.7641,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/ndata136_jpg.rf.4f0eb09595fc4cdd4f7ce3146e0ff199.jpg
substitution,2,30A99999,999995U4,3>9 0>9 A>9 9>5 9>U 9>4,,,0 1 2 5 6 7,0.9176,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/ndata139_jpg.rf.4a0cc78dc7ed4983959c78c632392e1b.jpg
substitution,1,30Z0751,30T0751,Z>T,,,2,0.8657,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/ndata142_jpg.rf.c5d591498f4ed7b45c11a2fd4b49fd2c.jpg
extra_chars,1,80A66868,80A668681,,,1,,0.9410,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/ndata144_jpg.rf.e1f64fb9ef42087bd5b7b91e0943bf7a.jpg
